seconds,state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts]
20.2,4,0,393867,-82763,4657,146,165
20.4,4,0,393867,-82763,4687,144,165
20.5,4,0,393867,-82763,4701,143,165
20.6,4,0,393867,-82763,4716,142,165
20.8,4,0,393867,-82763,4744,140,165
20.9,4,0,393867,-82763,4758,138,165
21,4,0,393867,-82763,4772,137,165
21.2,4,0,393867,-82763,4799,135,164
21.4,4,0,393855,-82725,4826,132,165
21.6,4,0,393855,-82725,4852,130,165
21.7,4,0,393855,-82725,4865,129,165
21.9,4,0,393854,-82722,4891,127,165
22.1,4,0,393853,-82720,4917,125,165
22.4,4,0,393853,-82719,4955,121,164
22.6,4,0,393852,-82716,4980,119,165
22.8,4,0,393852,-82716,5004,117,164
23,4,0,393854,-82717,5027,115,165
23.2,4,0,393854,-82717,5050,112,164
23.3,4,0,393854,-82717,5061,111,165
23.4,4,0,393853,-82714,5072,110,165
23.5,4,0,393853,-82714,5083,109,165
23.6,4,0,393853,-82714,5093,108,165
23.8,4,0,393853,-82714,5115,105,165
23.9,4,0,393853,-82714,5125,104,165
24,4,0,393853,-82714,5136,103,165
24.1,4,0,393853,-82714,5146,102,165
24.2,4,0,393853,-82714,5156,101,165
24.4,4,0,393853,-82714,5177,99,165
24.5,4,0,393853,-82714,5187,98,165
24.6,4,0,393853,-82714,5197,97,165
24.7,4,0,393853,-82714,5207,96,165
24.8,4,0,393853,-82714,5217,95,164
25,4,0,393853,-82714,5237,93,164
25.2,4,0,393849,-82701,5256,91,165
25.4,4,0,393849,-82699,5275,89,165
25.5,4,0,393849,-82699,5284,88,165
26,4,0,393848,-82695,5327,83,165
26.2,4,0,393847,-82694,5343,80,165
26.3,4,0,393847,-82694,5351,79,165
26.4,4,0,393847,-82692,5358,78,165
26.5,4,0,393847,-82692,5366,77,165
26.6,4,0,393847,-82691,5374,76,165
26.7,4,0,393847,-82691,5381,75,165
26.8,4,0,393846,-82689,5388,74,165
26.9,4,0,393846,-82689,5396,72,165
27,4,0,393846,-82689,5403,71,165
27.2,4,0,393846,-82687,5418,69,165
27.3,4,0,393846,-82687,5425,68,165
27.4,4,0,393845,-82685,5432,67,165
27.5,4,0,393845,-82685,5439,66,164
27.6,4,0,393845,-82684,5445,65,165
27.8,4,0,393845,-82683,5459,64,164
27.9,4,0,393845,-82683,5466,63,165
28.1,4,0,393844,-82681,5479,61,165
28.2,4,0,393844,-82680,5486,60,165
28.3,4,0,393844,-82680,5493,60,165
28.4,4,0,393844,-82679,5499,59,165
28.6,4,0,393843,-82678,5512,57,165
28.7,4,0,393843,-82678,5518,56,165
28.8,4,0,393843,-82677,5524,55,165
28.9,4,0,393843,-82677,5530,55,165
29,4,0,393843,-82677,5536,54,165
29.2,4,0,393842,-82674,5547,52,165
29.4,4,0,393842,-82673,5557,50,165
29.5,4,0,393842,-82673,5562,49,165
29.8,4,0,393841,-82670,5575,45,165
30,4,0,393841,-82669,5584,43,164
30.2,4,0,393841,-82668,5591,40,165
30.3,4,0,393841,-82668,5595,39,164
30.5,4,0,393840,-82666,5602,36,165
30.6,4,0,393840,-82666,5606,35,165
30.7,4,0,393840,-82666,5609,34,165
30.8,4,0,393840,-82666,5613,33,165
30.9,4,0,393840,-82666,5616,32,165
31,4,0,393840,-82666,5620,32,165
31.2,4,0,393840,-82666,5627,30,165
31.3,4,0,393840,-82666,5630,30,165
31.4,4,0,393840,-82666,5633,29,165
31.5,4,0,393840,-82666,5637,28,165
31.7,4,0,393838,-82658,5643,26,165
31.9,4,0,393838,-82658,5649,25,165
32.1,4,0,393838,-82658,5655,24,159
32.2,4,0,393838,-82658,5658,24,165
32.3,4,0,393838,-82658,5661,23,164
32.7,4,0,393838,-82658,5671,20,164
32.8,4,0,393838,-82658,5673,19,164
32.9,4,0,393838,-82658,5675,18,164
33,4,0,393838,-82658,5677,17,164
33.1,4,0,393838,-82658,5678,16,164
33.2,4,0,393838,-82658,5680,15,164
33.3,4,0,393838,-82658,5681,14,164
33.4,4,0,393838,-82658,5682,12,164
33.5,4,0,393838,-82658,5683,11,164
33.7,4,0,393838,-82658,5684,8,164
33.9,4,0,393838,-82658,5685,5,164
34.1,4,0,393838,-82658,5685,2,164
34.2,4,0,393838,-82658,5685,1,164
34.3,4,0,393838,-82658,5684,0,165
34.5,4,0,393838,-82658,5684,-2,164
34.6,5,0,393838,-82658,5683,-3,162
34.7,5,0,393838,-82658,5683,-3,163
34.8,5,0,393838,-82658,5683,-4,163
34.9,5,0,393838,-82658,5409,-11,164
35,5,0,393838,-82658,4545,-12,164
35.2,5,0,393838,-82658,2454,-14,164
35.3,5,0,393838,-82658,1739,-15,164
35.4,5,0,393838,-82658,1277,-16,164
35.5,5,0,393838,-82658,1047,-17,164
35.6,5,0,393838,-82658,1015,-19,164
35.7,5,0,393838,-82658,1142,-20,165
35.9,5,0,393838,-82658,1733,-21,164
36,5,0,393838,-82658,2139,-22,165
36.1,5,0,393838,-82658,2583,-23,164
36.2,5,0,393838,-82658,3043,-24,164
36.3,5,0,393838,-82658,3500,-24,164
36.4,5,0,393838,-82658,3936,-24,164
36.5,5,0,393838,-82658,4338,-25,164
36.6,5,0,393838,-82658,4697,-27,164
36.7,5,0,393838,-82658,5011,-28,164
36.8,5,0,393838,-82658,5279,-29,164
37,5,0,393838,-82658,5691,-30,164
37.1,5,0,393827,-82618,5841,-31,164
37.2,5,0,393827,-82618,5959,-32,164
37.4,5,0,393826,-82615,6113,-33,164
37.5,5,0,393826,-82615,6156,-33,164
37.6,5,0,393826,-82615,6180,-34,164
37.7,5,0,393826,-82615,6189,-34,164
37.8,5,0,393825,-82611,6186,-35,164
37.9,5,0,393825,-82611,6171,-35,164
38.1,5,0,393825,-82610,6120,-35,164
38.2,5,0,393824,-82608,6086,-35,164
38.3,5,0,393824,-82608,6049,-35,165
38.4,5,0,393824,-82606,6010,-35,164
38.7,5,0,393823,-82605,5891,-35,164
38.8,5,0,393823,-82605,5853,-35,164
39.1,5,0,393823,-82605,5750,-35,164
39.2,5,0,393822,-82600,5719,-35,165
39.4,5,0,393821,-82598,5666,-35,165
39.7,5,0,393821,-82597,5602,-35,164
39.8,5,0,393821,-82597,5585,-35,164
39.9,5,0,393821,-82597,5580,-35,164
40,5,0,393821,-82597,5575,-35,164
40.2,5,0,393821,-82597,5570,-35,165
40.3,5,0,393821,-82597,5565,-35,165
40.4,5,0,393821,-82597,5560,-35,164
40.6,5,0,393821,-82597,5555,-35,164
40.7,5,0,393821,-82597,5550,-35,165
40.8,5,0,393821,-82597,5545,-35,165
41.2,5,0,393818,-82585,5540,-35,164
41.4,5,0,393818,-82585,5535,-35,164
41.5,5,0,393818,-82585,5530,-35,165
41.6,5,0,393818,-82585,5525,-35,164
41.8,5,0,393818,-82585,5520,-35,164
41.9,5,0,393818,-82585,5515,-35,165
42.1,5,0,393818,-82585,5510,-35,164
42.5,5,0,393818,-82585,5505,-35,164
42.6,5,0,393818,-82585,5500,-35,164
42.9,5,0,393818,-82585,5495,-35,165
43.1,5,0,393818,-82585,5490,-35,164
43.3,5,0,393818,-82585,5485,-35,164
43.4,5,0,393818,-82585,5480,-35,165
43.5,5,0,393818,-82585,5475,-35,164
43.6,5,0,393818,-82585,5470,-35,165
43.7,5,0,393818,-82585,5465,-35,165
43.8,5,0,393818,-82585,5460,-35,164
43.9,5,0,393818,-82585,5455,-35,164
44.1,5,0,393818,-82585,5450,-35,165
44.2,5,0,393818,-82585,5445,-35,165
44.3,5,0,393818,-82585,5440,-35,164
44.6,5,0,393816,-82577,5435,-35,164
44.9,5,0,393816,-82575,5430,-35,164
45,5,0,393816,-82574,5425,-35,165
45.2,5,0,393816,-82574,5420,-35,164
45.3,5,0,393816,-82574,5415,-35,165
45.4,5,0,393815,-82572,5410,-35,164
45.5,5,0,393815,-82572,5405,-35,165
45.6,5,0,393815,-82571,5400,-35,164
45.7,5,0,393815,-82571,5395,-35,165
45.8,5,0,393814,-82569,5390,-35,165
46,5,0,393814,-82568,5385,-35,164
46.1,5,0,393814,-82568,5380,-35,164
46.2,5,0,393814,-82567,5375,-35,164
46.3,5,0,393814,-82567,5370,-35,165
46.4,5,0,393813,-82566,5365,-35,164
46.6,5,0,393813,-82565,5360,-35,164
46.7,5,0,393813,-82565,5355,-35,165
46.8,5,0,393813,-82564,5350,-35,164
47,5,0,393813,-82564,5345,-35,164
47.3,5,0,393812,-82561,5340,-35,165
47.4,5,0,393812,-82561,5335,-35,164
47.5,5,0,393812,-82560,5330,-35,165
47.6,5,0,393812,-82560,5325,-35,165
47.7,5,0,393812,-82560,5320,-35,165
48,5,0,393812,-82560,5315,-35,164
48.1,5,0,393812,-82560,5310,-35,164
48.2,5,0,393812,-82560,5305,-35,165
48.3,5,0,393812,-82560,5300,-35,164
48.4,5,0,393812,-82560,5295,-35,164
48.6,5,0,393812,-82560,5290,-35,164
48.7,5,0,393812,-82560,5285,-35,164
48.9,5,0,393812,-82560,5280,-35,165
49,5,0,393812,-82560,5275,-35,164
49.2,5,0,393812,-82560,5270,-35,164
49.3,5,0,393812,-82560,5265,-35,164
49.4,5,0,393812,-82560,5260,-35,164
50,5,0,393812,-82560,5255,-35,164
50.1,5,0,393812,-82560,5250,-35,164
50.2,5,0,393812,-82560,5245,-35,165
50.3,5,0,393812,-82560,5240,-35,164
50.4,5,0,393812,-82560,5235,-35,164
50.5,5,0,393812,-82560,5230,-35,165
50.6,5,0,393812,-82560,5225,-35,165
50.7,5,0,393812,-82560,5220,-35,164
50.8,5,0,393812,-82560,5215,-35,165
51.1,5,0,393812,-82560,5210,-35,164
51.3,5,0,393812,-82560,5205,-35,164
51.4,5,0,393812,-82560,5200,-35,164
51.5,5,0,393812,-82560,5195,-35,165
51.6,5,0,393812,-82560,5190,-35,165
51.7,5,0,393812,-82560,5185,-35,165
52.1,5,0,393812,-82560,5180,-35,164
52.2,5,0,393812,-82560,5175,-35,165
52.3,5,0,393812,-82560,5170,-35,164
52.4,5,0,393812,-82560,5165,-35,165
52.5,5,0,393812,-82560,5160,-35,165
52.6,5,0,393812,-82560,5155,-35,164
52.9,5,0,393812,-82560,5150,-35,164
53,5,0,393812,-82560,5145,-35,165
53.1,5,0,393812,-82560,5140,-35,165
53.2,5,0,393812,-82560,5135,-35,164
53.3,5,0,393812,-82560,5130,-35,164
53.5,5,0,393812,-82560,5125,-35,165
53.6,5,0,393812,-82560,5120,-35,164
53.7,5,0,393812,-82560,5115,-35,164
54.2,5,0,393812,-82560,5110,-35,165
54.3,5,0,393812,-82560,5105,-35,165
54.4,5,0,393812,-82560,5100,-35,164
54.5,5,0,393812,-82560,5095,-35,164
54.6,5,0,393812,-82560,5090,-35,165
54.7,5,0,393812,-82560,5085,-35,165
54.8,5,0,393812,-82560,5080,-35,165
54.9,5,0,393812,-82560,5075,-35,164
55.1,5,0,393812,-82560,5070,-35,165
55.2,5,0,393801,-82517,5065,-35,164
55.3,5,0,393801,-82517,5060,-35,165
55.4,5,0,393800,-82516,5055,-35,165
55.5,5,0,393800,-82516,5050,-35,164
55.6,5,0,393800,-82515,5045,-35,165
55.7,5,0,393800,-82515,5040,-35,164
56,5,0,393799,-82513,5035,-35,165
56.2,5,0,393799,-82512,5030,-35,165
56.3,5,0,393799,-82512,5025,-35,164
56.4,5,0,393799,-82511,5020,-35,164
56.5,5,0,393799,-82511,5015,-35,164
56.6,5,0,393799,-82510,5010,-35,165
56.7,5,0,393799,-82510,5005,-35,165
56.8,5,0,393798,-82509,5000,-35,165
56.9,5,0,393798,-82509,4995,-35,164
57,5,0,393798,-82509,4990,-35,165
57.1,5,0,393798,-82508,4985,-35,164
57.2,5,0,393798,-82507,4980,-35,164
57.3,5,0,393798,-82507,4975,-35,165
57.4,5,0,393798,-82506,4970,-35,164
57.5,5,0,393798,-82506,4965,-35,164
57.6,5,0,393798,-82506,4960,-35,164
57.7,5,0,393797,-82505,4955,-35,165
57.8,5,0,393797,-82505,4950,-35,164
57.9,5,0,393797,-82505,4945,-35,164
58,5,0,393797,-82505,4940,-35,165
58.2,5,0,393797,-82505,4935,-35,165
58.3,5,0,393797,-82505,4930,-35,165
58.4,5,0,393797,-82505,4925,-35,164
58.5,5,0,393797,-82505,4920,-35,164
58.6,5,0,393797,-82505,4915,-35,164
58.8,5,0,393797,-82505,4910,-35,164
58.9,5,0,393797,-82505,4905,-35,165
59.1,5,0,393797,-82505,4900,-35,164
59.2,5,0,393797,-82505,4895,-35,165
59.3,5,0,393797,-82505,4890,-35,165
59.4,5,0,393797,-82505,4885,-35,165
59.5,5,0,393797,-82505,4880,-35,165
59.6,5,0,393797,-82505,4875,-35,165
59.7,5,0,393797,-82505,4870,-35,164
59.8,5,0,393797,-82505,4865,-35,165
59.9,5,0,393797,-82505,4860,-35,164
60.1,5,0,393797,-82505,4855,-35,164
60.3,5,0,393797,-82505,4850,-35,164
60.4,5,0,393797,-82505,4845,-35,165
60.5,5,0,393797,-82505,4840,-35,165
60.6,5,0,393797,-82505,4835,-35,164
60.8,5,0,393797,-82505,4830,-35,164
60.9,5,0,393797,-82505,4825,-35,165
61,5,0,393797,-82505,4820,-35,165
61.1,5,0,393797,-82505,4815,-35,165
61.2,5,0,393797,-82505,4810,-35,164
61.3,5,0,393797,-82505,4805,-35,164
61.4,5,0,393797,-82505,4800,-35,165
61.5,5,0,393797,-82505,4795,-35,164
61.6,5,0,393797,-82505,4790,-35,165
61.7,5,0,393797,-82505,4785,-35,164
61.8,5,0,393797,-82505,4780,-35,164
61.9,5,0,393797,-82505,4775,-35,164
62,5,0,393797,-82505,4770,-35,164
62.1,5,0,393797,-82505,4765,-35,164
62.2,5,0,393797,-82505,4760,-35,164
62.4,5,0,393797,-82505,4755,-35,164
62.5,5,0,393797,-82505,4750,-35,165
62.6,5,0,393797,-82505,4745,-35,165
62.7,5,0,393797,-82505,4740,-35,165
62.8,5,0,393797,-82505,4735,-35,165
63,5,0,393797,-82505,4730,-35,164
63.1,5,0,393797,-82505,4725,-35,165
63.2,5,0,393797,-82505,4720,-35,165
63.4,5,0,393797,-82505,4715,-35,165
63.5,5,0,393797,-82505,4710,-35,165
63.7,5,0,393797,-82505,4705,-35,165
63.8,5,0,393797,-82505,4700,-35,164
64,5,0,393797,-82505,4695,-35,165
64.2,5,0,393797,-82505,4690,-35,164
64.3,5,0,393797,-82505,4685,-35,165
64.4,5,0,393797,-82505,4680,-35,165
64.8,5,0,393797,-82505,4675,-35,165
64.9,5,0,393797,-82505,4670,-35,165
65.2,5,0,393797,-82505,4665,-35,165
65.3,5,0,393797,-82505,4660,-35,164
65.4,5,0,393797,-82505,4655,-35,165
65.5,5,0,393797,-82505,4650,-35,165
65.6,5,0,393789,-82469,4645,-35,164
65.9,5,0,393788,-82469,4640,-35,164
66,5,0,393788,-82468,4635,-35,164
66.1,5,0,393788,-82468,4630,-35,165
66.2,5,0,393788,-82467,4625,-35,165
66.5,5,0,393788,-82466,4620,-35,165
66.7,5,0,393788,-82466,4615,-35,164
66.8,5,0,393787,-82465,4610,-35,164
67.1,5,0,393787,-82464,4605,-35,165
67.2,5,0,393787,-82463,4600,-35,164
67.3,5,0,393787,-82463,4595,-35,164
67.5,5,0,393787,-82462,4590,-35,165
67.6,5,0,393787,-82462,4585,-35,164
67.7,5,0,393787,-82462,4580,-35,165
67.8,5,0,393787,-82461,4575,-35,165
67.9,5,0,393787,-82461,4570,-35,165
68.1,5,0,393786,-82460,4565,-35,165
68.2,5,0,393786,-82460,4560,-35,164
68.3,5,0,393786,-82459,4555,-35,165
68.4,5,0,393786,-82459,4550,-35,164
68.5,5,0,393786,-82459,4545,-35,165
68.6,5,0,393786,-82458,4540,-35,165
68.7,5,0,393786,-82458,4535,-35,164
68.8,5,0,393786,-82458,4530,-35,165
69,5,0,393786,-82457,4525,-35,164
69.1,5,0,393786,-82457,4520,-35,164
69.2,5,0,393786,-82457,4515,-35,164
69.3,5,0,393786,-82457,4510,-35,165
69.4,5,0,393785,-82455,4505,-35,165
69.5,5,0,393785,-82455,4500,-35,165
69.6,5,0,393785,-82455,4495,-35,164
69.8,5,0,393785,-82454,4490,-35,165
69.9,5,0,393785,-82454,4485,-35,164
70.1,5,0,393785,-82454,4480,-35,164
70.2,5,0,393785,-82454,4475,-35,164
70.3,5,0,393785,-82454,4470,-35,164
70.4,5,0,393785,-82454,4465,-35,164
70.5,5,0,393785,-82454,4460,-35,165
70.6,5,0,393785,-82454,4455,-35,165
70.7,5,0,393785,-82454,4450,-35,164
70.8,5,0,393785,-82454,4445,-35,164
71,5,0,393785,-82454,4440,-35,165
71.1,5,0,393785,-82454,4435,-35,165
71.2,5,0,393785,-82454,4430,-35,164
71.3,5,0,393785,-82454,4425,-35,165
71.4,5,0,393785,-82454,4420,-35,165
71.5,5,0,393785,-82454,4415,-35,164
71.6,5,0,393785,-82454,4410,-35,164
71.8,5,0,393785,-82454,4405,-35,165
71.9,5,0,393785,-82454,4400,-35,164
72,5,0,393785,-82454,4395,-35,164
72.3,5,0,393785,-82454,4390,-35,165
72.4,5,0,393785,-82454,4385,-35,164
72.5,5,0,393785,-82454,4380,-35,165
72.6,5,0,393785,-82454,4375,-35,164
72.8,5,0,393785,-82454,4370,-35,165
72.9,5,0,393785,-82454,4365,-35,164
73,5,0,393785,-82454,4360,-35,164
73.1,5,,,,4355,-35,
73.2,5,,,,4350,-35,
73.3000000000001,5,,,,4345,-35,
73.4000000000001,5,,,,4340,-35,
73.5000000000001,5,,,,4335,-35,
73.6000000000001,5,,,,4330,-35,
73.7000000000001,5,,,,4325,-35,
73.8000000000001,5,,,,4320,-35,
73.9000000000001,5,,,,4315,-35,
74.0000000000001,5,,,,4310,-35,
74.1000000000001,5,,,,4305,-35,
74.2000000000001,5,,,,4300,-35,
74.3000000000002,5,,,,4295,-35,
74.4000000000002,5,,,,4290,-35,
74.5000000000002,5,,,,4285,-35,
74.6000000000002,5,,,,4280,-35,
74.7000000000002,5,,,,4275,-35,
74.8000000000002,5,,,,4270,-35,
74.9000000000002,5,,,,4265,-35,
75.0000000000002,5,,,,4260,-35,
75.1000000000002,5,,,,4255,-35,
75.2000000000002,5,,,,4250,-35,
75.3000000000003,5,,,,4245,-35,
75.4000000000003,5,,,,4240,-35,
75.5000000000003,5,,,,4235,-35,
75.6000000000003,5,,,,4230,-35,
75.7000000000003,5,,,,4225,-35,
75.8000000000003,5,,,,4220,-35,
75.9000000000003,5,,,,4215,-35,
76.0000000000003,5,,,,4210,-35,
76.1000000000003,5,,,,4205,-35,
76.2000000000003,5,,,,4200,-35,
76.3000000000004,5,,,,4195,-35,
76.4000000000004,5,,,,4190,-35,
76.5000000000004,5,,,,4185,-35,
76.6000000000004,5,,,,4180,-35,
76.7000000000004,5,,,,4175,-35,
76.8000000000004,5,,,,4170,-35,
76.9000000000004,5,,,,4165,-35,
77.0000000000004,5,,,,4160,-35,
77.1000000000004,5,,,,4155,-35,
77.2000000000004,5,,,,4150,-35,
77.3000000000005,5,,,,4145,-35,
77.4000000000005,5,,,,4140,-35,
77.5000000000005,5,,,,4135,-35,
77.6000000000005,5,,,,4130,-35,
77.7000000000005,5,,,,4125,-35,
77.8000000000005,5,,,,4120,-35,
77.9000000000005,5,,,,4115,-35,
78.0000000000005,5,,,,4110,-35,
78.1000000000005,5,,,,4105,-35,
78.2000000000005,5,,,,4100,-35,
78.3000000000006,5,,,,4095,-35,
78.4000000000006,5,,,,4090,-35,
78.5000000000006,5,,,,4085,-35,
78.6000000000006,5,,,,4080,-35,
78.7000000000006,5,,,,4075,-35,
78.8000000000006,5,,,,4070,-35,
78.9000000000006,5,,,,4065,-35,
79.0000000000006,5,,,,4060,-35,
79.1000000000006,5,,,,4055,-35,
79.2000000000006,5,,,,4050,-35,
79.3000000000007,5,,,,4045,-35,
79.4000000000007,5,,,,4040,-35,
79.5000000000007,5,,,,4035,-35,
79.6000000000007,5,,,,4030,-35,
79.7000000000007,5,,,,4025,-35,
79.8000000000007,5,,,,4020,-35,
79.9000000000007,5,,,,4015,-35,
80.0000000000007,5,,,,4010,-35,
80.1000000000007,5,,,,4005,-35,
80.2000000000007,5,,,,4000,-35,
80.3000000000008,5,,,,3995,-35,
80.4000000000008,5,,,,3990,-35,
80.5000000000008,5,,,,3985,-35,
80.6000000000008,5,,,,3980,-35,
80.7000000000008,5,,,,3975,-35,
80.8000000000008,5,,,,3970,-35,
80.9000000000008,5,,,,3965,-35,
81.0000000000008,5,,,,3960,-35,
81.1000000000008,5,,,,3955,-35,
81.2000000000008,5,,,,3950,-35,
81.3000000000009,5,,,,3945,-35,
81.4000000000009,5,,,,3940,-35,
81.5000000000009,5,,,,3935,-35,
81.6000000000009,5,,,,3930,-35,
81.7000000000009,5,,,,3925,-35,
81.8000000000009,5,,,,3920,-35,
81.9000000000009,5,,,,3915,-35,
82.0000000000009,5,,,,3910,-35,
82.1000000000009,5,,,,3905,-35,
82.2000000000009,5,,,,3900,-35,
82.300000000001,5,,,,3895,-35,
82.400000000001,5,,,,3890,-35,
82.500000000001,5,,,,3885,-35,
82.600000000001,5,,,,3880,-35,
82.700000000001,5,,,,3875,-35,
82.800000000001,5,,,,3870,-35,
82.900000000001,5,,,,3865,-35,
83.000000000001,5,,,,3860,-35,
83.100000000001,5,,,,3855,-35,
83.200000000001,5,,,,3850,-35,
83.3000000000011,5,,,,3845,-35,
83.4000000000011,5,,,,3840,-35,
83.5000000000011,5,,,,3835,-35,
83.6000000000011,5,,,,3830,-35,
83.7000000000011,5,,,,3825,-35,
83.8000000000011,5,,,,3820,-35,
83.9000000000011,5,,,,3815,-35,
84.0000000000011,5,,,,3810,-35,
84.1000000000011,5,,,,3805,-35,
